,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
0,03/01/2020 01,33.47,36.16,9800.0
1,03/01/2020 02,33.43,36.17,9662.0
2,03/01/2020 03,29.83,36.17,9527.0
3,03/01/2020 04,32.46,36.17,9488.0
4,03/01/2020 05,33.45,36.18,9521.0
5,03/01/2020 06,34.08,36.18,9586.0
6,03/01/2020 07,35.85,36.19,9711.0
7,03/01/2020 08,36.3,36.19,9830.0
8,03/01/2020 09,37.58,36.2,9943.0
9,03/01/2020 10,42.58,36.21,10040.0
10,03/01/2020 11,44.67,36.22,10057.0
11,03/01/2020 12,39.4,36.23,10020.0
12,03/01/2020 13,34.62,36.23,10036.0
13,03/01/2020 14,31.85,36.23,10028.0
14,03/01/2020 15,26.66,36.21,9979.0
15,03/01/2020 16,24.68,36.21,9983.0
16,03/01/2020 17,28.33,36.21,10162.0
17,03/01/2020 18,33.2,36.21,10396.0
18,03/01/2020 19,33.4,36.22,10548.0
19,03/01/2020 20,33.37,36.22,10461.0
20,03/01/2020 21,33.37,36.23,10313.0
21,03/01/2020 22,30.78,36.23,10118.0
22,03/01/2020 23,29.8,36.23,9811.0
23,03/01/2020 24,29.67,36.23,9521.0
24,03/02/2020 01,29.76,36.23,9296.0
25,03/02/2020 02,29.67,36.23,9193.0
26,03/02/2020 03,29.69,36.23,9202.0
27,03/02/2020 04,21.64,36.22,9235.0
28,03/02/2020 05,22.72,36.22,9296.0
29,03/02/2020 06,29.69,36.22,9523.0
30,03/02/2020 07,33.08,36.23,9971.0
31,03/02/2020 08,33.47,36.24,10330.0
32,03/02/2020 09,33.49,36.25,10430.0
33,03/02/2020 10,33.96,36.26,10462.0
34,03/02/2020 11,35.96,36.27,10420.0
35,03/02/2020 12,36.09,36.28,10375.0
36,03/02/2020 13,36.2,36.29,10385.0
37,03/02/2020 14,36.69,36.3,10404.0
38,03/02/2020 15,36.73,36.32,10359.0
39,03/02/2020 16,50.0,36.34,10340.0
40,03/02/2020 17,62.95,36.39,10350.0
41,03/02/2020 18,36.02,36.39,10433.0
42,03/02/2020 19,35.93,36.4,10499.0
43,03/02/2020 20,35.6,36.4,10443.0
44,03/02/2020 21,33.06,36.4,10391.0
45,03/02/2020 22,29.85,36.4,10193.0
46,03/02/2020 23,29.66,36.4,9879.0
47,03/02/2020 24,29.64,36.4,9580.0
48,03/03/2020 01,23.33,36.39,9384.0
49,03/03/2020 02,19.92,36.38,9310.0
50,03/03/2020 03,25.33,36.38,9260.0
51,03/03/2020 04,29.23,36.38,9284.0
52,03/03/2020 05,29.68,36.37,9357.0
53,03/03/2020 06,30.48,36.37,9532.0
54,03/03/2020 07,29.76,36.37,9940.0
55,03/03/2020 08,28.89,36.37,10279.0
56,03/03/2020 09,32.03,36.37,10310.0
57,03/03/2020 10,32.65,36.38,10318.0
58,03/03/2020 11,33.65,36.38,10335.0
59,03/03/2020 12,35.78,36.38,10300.0
60,03/03/2020 13,33.88,36.38,10217.0
61,03/03/2020 14,33.55,36.38,10196.0
62,03/03/2020 15,33.87,36.38,10159.0
63,03/03/2020 16,33.8,36.38,10152.0
64,03/03/2020 17,33.83,36.38,10244.0
65,03/03/2020 18,35.22,36.38,10335.0
66,03/03/2020 19,33.27,36.38,10399.0
67,03/03/2020 20,30.49,36.37,10427.0
68,03/03/2020 21,32.78,36.37,10278.0
69,03/03/2020 22,31.12,36.37,10114.0
70,03/03/2020 23,32.99,36.37,9796.0
71,03/03/2020 24,32.81,36.37,9579.0
72,03/04/2020 01,31.82,36.37,9415.0
73,03/04/2020 02,29.57,36.36,9272.0
74,03/04/2020 03,28.87,36.36,9222.0
75,03/04/2020 04,28.5,36.35,9240.0
76,03/04/2020 05,29.37,36.35,9297.0
77,03/04/2020 06,29.5,36.34,9442.0
78,03/04/2020 07,32.98,36.34,9857.0
79,03/04/2020 08,49.28,36.36,10200.0
80,03/04/2020 09,67.96,36.41,10213.0
81,03/04/2020 10,36.57,36.42,10279.0
82,03/04/2020 11,29.01,36.41,10289.0
83,03/04/2020 12,32.73,36.4,10272.0
84,03/04/2020 13,29.85,36.39,10240.0
85,03/04/2020 14,33.7,36.39,10265.0
86,03/04/2020 15,34.8,36.38,10272.0
87,03/04/2020 16,35.3,36.37,10321.0
88,03/04/2020 17,35.31,36.36,10437.0
89,03/04/2020 18,37.4,36.3,10478.0
90,03/04/2020 19,34.95,36.23,10517.0
91,03/04/2020 20,37.45,36.17,10530.0
92,03/04/2020 21,42.36,36.18,10416.0
93,03/04/2020 22,48.76,36.2,10196.0
94,03/04/2020 23,34.77,36.2,9906.0
95,03/04/2020 24,34.77,36.2,9639.0
96,03/05/2020 01,37.82,36.2,9465.0
97,03/05/2020 02,37.88,36.21,9408.0
98,03/05/2020 03,37.02,36.22,9379.0
99,03/05/2020 04,38.84,36.24,9391.0
100,03/05/2020 05,38.61,36.25,9485.0
101,03/05/2020 06,37.96,36.26,9685.0
102,03/05/2020 07,37.96,36.27,10098.0
103,03/05/2020 08,34.43,36.27,10456.0
104,03/05/2020 09,32.49,36.27,10510.0
105,03/05/2020 10,32.89,36.26,10543.0
106,03/05/2020 11,33.37,36.27,10479.0
107,03/05/2020 12,34.0,36.27,10463.0
108,03/05/2020 13,33.49,36.27,10433.0
109,03/05/2020 14,33.39,36.27,10421.0
110,03/05/2020 15,32.62,36.27,10392.0
111,03/05/2020 16,32.91,36.27,10396.0
112,03/05/2020 17,33.08,36.28,10475.0
113,03/05/2020 18,30.13,36.27,10430.0
114,03/05/2020 19,29.95,36.27,10451.0
115,03/05/2020 20,29.92,36.27,10468.0
