,Date (HE),Time,Price ($),Date,HE,Dispatched
418,03/01/2022 01,24:00,72.74,2022-03-01,01,11045
417,03/01/2022 01,24:05,73.58,2022-03-01,01,11164
416,03/01/2022 01,24:28,73.23,2022-03-01,01,11115
415,03/01/2022 01,24:29,72.74,2022-03-01,01,11045
414,03/01/2022 02,01:00,72.85,2022-03-01,02,11054
413,03/01/2022 03,02:00,72.56,2022-03-01,03,11041
412,03/01/2022 04,03:00,72.94,2022-03-01,04,11021
411,03/01/2022 04,03:07,72.18,2022-03-01,04,10951
410,03/01/2022 04,03:56,72.94,2022-03-01,04,11021
409,03/01/2022 05,04:00,72.8,2022-03-01,05,11047
408,03/01/2022 06,05:00,72.57,2022-03-01,06,11048
407,03/01/2022 06,05:17,73.58,2022-03-01,06,11167
406,03/01/2022 06,05:48,75.44,2022-03-01,06,11226
405,03/01/2022 07,06:00,88.98,2022-03-01,07,11235
404,03/01/2022 07,06:34,101.01,2022-03-01,07,11303
403,03/01/2022 07,06:50,88.98,2022-03-01,07,11235
402,03/01/2022 07,06:52,75.44,2022-03-01,07,11154
401,03/01/2022 08,07:00,74.54,2022-03-01,08,11396
400,03/01/2022 08,07:10,72.74,2022-03-01,08,11297
399,03/01/2022 08,07:12,71.95,2022-03-01,08,11227
398,03/01/2022 08,07:14,71.77,2022-03-01,08,11205
397,03/01/2022 08,07:25,72.13,2022-03-01,08,11257
396,03/01/2022 08,07:26,72.74,2022-03-01,08,11297
395,03/01/2022 08,07:31,74.54,2022-03-01,08,11396
394,03/01/2022 08,07:56,72.74,2022-03-01,08,11297
393,03/01/2022 09,08:00,72.61,2022-03-01,09,11448
392,03/01/2022 10,09:00,73.03,2022-03-01,10,11495
391,03/01/2022 10,09:33,72.56,2022-03-01,10,11425
390,03/01/2022 10,09:36,72.31,2022-03-01,10,11385
389,03/01/2022 10,09:39,68.28,2022-03-01,10,11200
388,03/01/2022 11,10:00,68.14,2022-03-01,11,11104
387,03/01/2022 11,10:04,68.67,2022-03-01,11,11182
386,03/01/2022 11,10:17,67.35,2022-03-01,11,11058
385,03/01/2022 11,10:29,63.98,2022-03-01,11,10944
384,03/01/2022 12,11:00,63.98,2022-03-01,12,10789
383,03/01/2022 13,12:00,63.98,2022-03-01,13,10687
382,03/01/2022 14,13:00,61.42,2022-03-01,14,10702
381,03/01/2022 14,13:33,60.0,2022-03-01,14,10567
380,03/01/2022 15,14:00,60.0,2022-03-01,15,10717
379,03/01/2022 15,14:39,59.95,2022-03-01,15,10687
378,03/01/2022 16,15:00,59.95,2022-03-01,16,10708
377,03/01/2022 16,15:21,59.01,2022-03-01,16,10641
376,03/01/2022 17,16:00,59.01,2022-03-01,17,10712
375,03/01/2022 17,16:03,59.56,2022-03-01,17,10779
374,03/01/2022 17,16:10,60.0,2022-03-01,17,10809
373,03/01/2022 17,16:13,61.38,2022-03-01,17,10944
372,03/01/2022 18,17:00,61.37,2022-03-01,18,10909
371,03/01/2022 18,17:08,59.56,2022-03-01,18,10744
370,03/01/2022 19,18:00,59.56,2022-03-01,19,10730
369,03/01/2022 19,18:40,61.9,2022-03-01,19,10895
368,03/01/2022 19,18:57,60.0,2022-03-01,19,10760
367,03/01/2022 20,19:00,60.0,2022-03-01,20,10738
366,03/01/2022 20,19:28,59.56,2022-03-01,20,10708
365,03/01/2022 20,19:48,61.3,2022-03-01,20,10873
364,03/01/2022 20,19:51,63.98,2022-03-01,20,10918
363,03/01/2022 21,20:00,66.12,2022-03-01,21,10768
