Index,_merge,Date,HE,Asset Id,Block Number,Price,Available MW,Offer Control
0,left_only,2022-03-01,1,AFG1,0,0.0,18,Alberta Pacific Forest Industries
1,left_only,2022-03-01,1,AFG1,1,80.0,6,Alberta Pacific Forest Industries
2,left_only,2022-03-01,1,AFG1,2,200.0,7,Alberta Pacific Forest Industries
3,left_only,2022-03-01,1,AFG1,3,500.0,5,Alberta Pacific Forest Industries
4,left_only,2022-03-01,1,AFG1,4,999.0,7,Alberta Pacific Forest Industries
5,left_only,2022-03-01,1,AKE1,0,0.0,68,ENMAX Energy Corporation 12
6,left_only,2022-03-01,1,ALP1,0,0.0,4,Campus Energy Partners LP
7,left_only,2022-03-01,1,ALP1,1,999.99,3,Campus Energy Partners LP
8,left_only,2022-03-01,1,ALP2,1,999.99,5,Campus Energy Partners LP
9,left_only,2022-03-01,1,ALP2,0,0.0,5,Campus Energy Partners LP
10,left_only,2022-03-01,1,ALS1,2,200.0,10,Air Liquide Canada Inc.
11,left_only,2022-03-01,1,ALS1,1,28.5,32,Air Liquide Canada Inc.
12,left_only,2022-03-01,1,ALS1,0,0.0,43,Air Liquide Canada Inc.
13,left_only,2022-03-01,1,ANC1,0,59.93,63,Alberta Newsprint Company
14,left_only,2022-03-01,1,APS1,3,979.25,4,Heartland Generation Ltd.
15,left_only,2022-03-01,1,APS1,0,0.0,150,Heartland Generation Ltd.
16,left_only,2022-03-01,1,APS1,2,44.96,8,Heartland Generation Ltd.
17,left_only,2022-03-01,1,ARD1,0,0.0,68,TransAlta Corporation
18,left_only,2022-03-01,1,BCR2,0,0.0,27,TransCanada Energy Ltd
19,left_only,2022-03-01,1,BCRK,0,0.0,60,TransCanada Energy Ltd
20,left_only,2022-03-01,1,BFD1,0,0.0,3,Horseshoe Power GP Ltd.
21,left_only,2022-03-01,1,BFD1,1,999.99,3,Horseshoe Power GP Ltd.
22,left_only,2022-03-01,1,BHL1,1,999.99,2,URICA Asset Optimization Ltd.
23,left_only,2022-03-01,1,BHL1,0,0.0,3,URICA Asset Optimization Ltd.
24,left_only,2022-03-01,1,BIG,0,0.0,46,TransAlta Energy Marketing Corp.
25,left_only,2022-03-01,1,BIG,6,999.99,16,TransAlta Energy Marketing Corp.
26,left_only,2022-03-01,1,BOW1,2,400.0,12,TransAlta Energy Marketing Corp.
27,left_only,2022-03-01,1,BOW1,0,0.0,21,TransAlta Energy Marketing Corp.
28,left_only,2022-03-01,1,BOW1,6,999.99,86,TransAlta Energy Marketing Corp.
29,left_only,2022-03-01,1,BOW1,4,849.0,5,TransAlta Energy Marketing Corp.
30,left_only,2022-03-01,1,BOW1,3,700.0,40,TransAlta Energy Marketing Corp.
31,left_only,2022-03-01,1,BOW1,1,199.0,48,TransAlta Energy Marketing Corp.
32,left_only,2022-03-01,1,BRA,1,95.44,20,TransAlta Energy Marketing Corp.
33,left_only,2022-03-01,1,BRA,2,96.9,15,TransAlta Energy Marketing Corp.
34,left_only,2022-03-01,1,BRA,3,101.01,32,TransAlta Energy Marketing Corp.
35,left_only,2022-03-01,1,BRA,4,193.84,30,TransAlta Energy Marketing Corp.
36,left_only,2022-03-01,1,BRA,5,197.94,5,TransAlta Energy Marketing Corp.
37,left_only,2022-03-01,1,BRA,0,0.0,13,TransAlta Energy Marketing Corp.
38,left_only,2022-03-01,1,BRD1,0,0.0,11,"Alberta Solar One, Inc."
39,left_only,2022-03-01,1,BSC1,0,0.0,15,Brooks Solar Corporation
40,left_only,2022-03-01,1,BSR1,0,0.0,300,EDF Renewables Development Inc.
41,left_only,2022-03-01,1,BTR1,0,0.0,66,TransAlta Corporation
42,left_only,2022-03-01,1,BUL1,0,0.0,13,Bull Creek Wind Power Limited Partnership
43,left_only,2022-03-01,1,BUL2,0,0.0,16,Bull Creek Wind Power Limited Partnership
44,left_only,2022-03-01,1,BUR1,0,0.0,20,Suffield Solar LP
45,left_only,2022-03-01,1,CAL1,4,425.15,10,Calgary Energy Centre No. 2 Inc.
46,left_only,2022-03-01,1,CAL1,0,0.0,115,Calgary Energy Centre No. 2 Inc.
47,left_only,2022-03-01,1,CAL1,1,33.64,60,Calgary Energy Centre No. 2 Inc.
48,left_only,2022-03-01,1,CAL1,5,425.16,38,Calgary Energy Centre No. 2 Inc.
49,left_only,2022-03-01,1,CAL1,3,36.23,58,Calgary Energy Centre No. 2 Inc.
50,left_only,2022-03-01,1,CAL1,2,34.53,25,Calgary Energy Centre No. 2 Inc.
51,left_only,2022-03-01,1,CCMH,1,999.0,3,Cancarb Ltd.
52,left_only,2022-03-01,1,CCMH,0,0.0,36,Cancarb Ltd.
53,left_only,2022-03-01,1,CL01,0,0.0,93,Cenovus FCCL Ltd.
54,left_only,2022-03-01,1,CLR1,0,0.0,58,Claresholm Solar LP
55,left_only,2022-03-01,1,CLR2,0,0.0,75,Claresholm Solar LP
56,left_only,2022-03-01,1,CMH1,5,105.0,1,City of Medicine Hat
57,left_only,2022-03-01,1,CMH1,0,0.0,140,City of Medicine Hat
58,left_only,2022-03-01,1,CMH1,3,60.0,30,City of Medicine Hat
59,left_only,2022-03-01,1,CMH1,4,95.0,1,City of Medicine Hat
60,left_only,2022-03-01,1,CMH1,1,40.65,10,City of Medicine Hat
61,left_only,2022-03-01,1,CMH1,6,125.0,9,City of Medicine Hat
62,left_only,2022-03-01,1,CMH1,2,45.0,10,City of Medicine Hat
63,left_only,2022-03-01,1,COD1,0,0.0,3,Signalta Resources Limited
64,left_only,2022-03-01,1,COD1,1,999.99,2,Signalta Resources Limited
65,left_only,2022-03-01,1,CR1,0,0.0,39,TransAlta Corporation
66,left_only,2022-03-01,1,CRE3,0,0.0,20,TransAlta Corporation
67,left_only,2022-03-01,1,CRR1,0,0.0,77,Castle Rock Ridge LP
68,left_only,2022-03-01,1,CRR2,0,0.0,29,Pincher Creek Limited Partnership
69,left_only,2022-03-01,1,CRS1,1,915.23,37,ENMAX Generation Portfolio Inc.
70,left_only,2022-03-01,1,CRS1,2,925.78,2,ENMAX Generation Portfolio Inc.
71,left_only,2022-03-01,1,CRS2,1,955.0,37,ENMAX Generation Portfolio Inc.
72,left_only,2022-03-01,1,CRS2,2,965.23,2,ENMAX Generation Portfolio Inc.
73,left_only,2022-03-01,1,CRS3,2,985.45,2,ENMAX Generation Portfolio Inc.
74,left_only,2022-03-01,1,CRS3,1,975.87,38,ENMAX Generation Portfolio Inc.
75,left_only,2022-03-01,1,DAI1,0,0.0,7,Mercer Peace River Pulp Ltd.
76,left_only,2022-03-01,1,DAI1,1,108.26,5,Mercer Peace River Pulp Ltd.
77,left_only,2022-03-01,1,DKSN,0,0.0,4,Algonquin Power Operating Trust
78,left_only,2022-03-01,1,DOWG,3,68.15,1,Dow Chemical Canada ULC 
79,left_only,2022-03-01,1,DOWG,2,51.55,37,Dow Chemical Canada ULC 
80,left_only,2022-03-01,1,DOWG,0,0.0,130,Dow Chemical Canada ULC 
81,left_only,2022-03-01,1,DOWG,1,47.45,32,Dow Chemical Canada ULC 
82,left_only,2022-03-01,1,DRW1,0,0.0,3,URICA Asset Optimization Ltd.
83,left_only,2022-03-01,1,EAGL,0,0.0,18,Whitecourt Power Ltd.
84,left_only,2022-03-01,1,EAGL,2,75.01,3,Whitecourt Power Ltd.
85,left_only,2022-03-01,1,EAGL,1,55.01,4,Whitecourt Power Ltd.
86,left_only,2022-03-01,1,EC01,0,0.0,40,ENMAX Cavalier LP
87,left_only,2022-03-01,1,EC01,1,36.67,37,ENMAX Cavalier LP
88,left_only,2022-03-01,1,EC01,2,715.15,10,ENMAX Cavalier LP
89,left_only,2022-03-01,1,EC04,0,0.0,82,Cenovus FCCL Ltd.
90,left_only,2022-03-01,1,EGC1,4,44.94,80,Capital Power GP Holdings Inc.
91,left_only,2022-03-01,1,EGC1,5,59.95,71,Capital Power GP Holdings Inc.
92,left_only,2022-03-01,1,EGC1,0,0.0,390,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
93,left_only,2022-03-01,1,EGC1,6,130.45,70,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
94,left_only,2022-03-01,1,EGC1,2,32.08,50,ENMAX Energy Corporation
95,left_only,2022-03-01,1,EGC1,1,31.65,50,ENMAX Energy Corporation
96,left_only,2022-03-01,1,EGC1,3,34.68,99,ENMAX Energy Corporation
97,left_only,2022-03-01,1,ENC1,6,869.87,42,Capital Power GP Holdings Inc.
98,left_only,2022-03-01,1,ENC2,6,862.13,96,Capital Power GP Holdings Inc.
99,left_only,2022-03-01,1,ENC3,6,860.5,95,Capital Power GP Holdings Inc.
100,left_only,2022-03-01,1,ESBC,0,0.0,50,TransCanada Energy Sales Ltd.
101,left_only,2022-03-01,1,FH1,0,0.0,160,Suncor Energy Inc.
102,left_only,2022-03-01,1,FH1,1,23.01,15,Suncor Energy Inc.
103,left_only,2022-03-01,1,FH1,2,32.1,24,Suncor Energy Inc.
104,left_only,2022-03-01,1,FNG1,0,0.0,68,Powerex Corp. 
105,left_only,2022-03-01,1,GEN5,2,999.99,10,URICA Asset Optimization Ltd.
106,left_only,2022-03-01,1,GEN5,0,0.0,5,URICA Asset Optimization Ltd.
107,left_only,2022-03-01,1,GEN6,0,0.0,8,URICA Asset Optimization Ltd.
108,left_only,2022-03-01,1,GEN6,1,83.59,2,URICA Asset Optimization Ltd.
109,left_only,2022-03-01,1,GN1,2,31.18,100,Capital Power GP Holdings Inc.
110,left_only,2022-03-01,1,GN1,0,0.0,200,Capital Power GP Holdings Inc.
111,left_only,2022-03-01,1,GN1,1,30.54,100,Capital Power GP Holdings Inc.
112,left_only,2022-03-01,1,GN2,0,0.0,300,Capital Power GP Holdings Inc.
113,left_only,2022-03-01,1,GN2,1,29.84,100,Capital Power GP Holdings Inc.
114,left_only,2022-03-01,1,GN3,0,0.0,466,Capital Power GP Holdings Inc.
