Date,HE,Price,Minute
07/20/2022,09,68.11,08:30
07/20/2022,09,68.11,08:31
07/20/2022,09,68.11,08:32
07/20/2022,09,68.11,08:33
07/20/2022,09,68.11,08:34
07/20/2022,09,68.11,08:35
07/20/2022,09,68.11,08:36
07/20/2022,09,68.51,08:37
07/20/2022,09,68.51,08:38
07/20/2022,09,68.51,08:39
07/20/2022,09,68.51,08:40
07/20/2022,09,68.51,08:41
07/20/2022,09,68.51,08:42
07/20/2022,09,68.51,08:43
07/20/2022,09,68.51,08:44
07/20/2022,09,68.51,08:45
07/20/2022,09,68.51,08:46
07/20/2022,09,68.51,08:47
07/20/2022,09,68.51,08:48
07/20/2022,09,68.51,08:49
07/20/2022,09,68.51,08:50
07/20/2022,09,67.39,08:51
07/20/2022,09,67.39,08:52
07/20/2022,09,67.39,08:53
07/20/2022,09,67.39,08:54
07/20/2022,09,67.29,08:55
07/20/2022,09,67.29,08:56
07/20/2022,09,67.29,08:57
07/20/2022,09,67.17,08:58
07/20/2022,09,67.17,08:59
07/20/2022,10,60.16,09:00
07/20/2022,10,60.16,09:01
07/20/2022,10,60.41,09:02
07/20/2022,10,60.41,09:03
07/20/2022,10,60.41,09:04
07/20/2022,10,55.27,09:05
07/20/2022,10,54.69,09:06
07/20/2022,10,54.69,09:07
07/20/2022,10,54.69,09:08
07/20/2022,10,54.69,09:09
07/20/2022,10,54.69,09:10
07/20/2022,10,59.34,09:11
07/20/2022,10,59.34,09:12
07/20/2022,10,59.34,09:13
07/20/2022,10,59.34,09:14
07/20/2022,10,59.70,09:15
07/20/2022,10,59.70,09:16
07/20/2022,10,59.70,09:17
07/20/2022,10,59.70,09:18
07/20/2022,10,59.70,09:19
07/20/2022,10,59.70,09:20
07/20/2022,10,59.70,09:21
07/20/2022,10,59.70,09:22
07/20/2022,10,59.70,09:23
07/20/2022,10,59.70,09:24
07/20/2022,10,59.70,09:25
07/20/2022,10,59.70,09:26
07/20/2022,10,59.70,09:27
07/20/2022,10,59.70,09:28
07/20/2022,10,59.70,09:29
07/20/2022,10,59.70,09:30
07/20/2022,10,60.05,09:31
07/20/2022,10,60.05,09:32
07/20/2022,10,60.05,09:33
07/20/2022,10,60.05,09:34
07/20/2022,10,60.05,09:35
07/20/2022,10,60.05,09:36
07/20/2022,10,60.05,09:37
07/20/2022,10,60.05,09:38
07/20/2022,10,60.05,09:39
07/20/2022,10,60.05,09:40
07/20/2022,10,60.05,09:41
07/20/2022,10,60.05,09:42
07/20/2022,10,60.05,09:43
07/20/2022,10,60.05,09:44
07/20/2022,10,60.05,09:45
07/20/2022,10,60.05,09:46
07/20/2022,10,60.05,09:47
07/20/2022,10,60.05,09:48
07/20/2022,10,60.05,09:49
07/20/2022,10,60.05,09:50
07/20/2022,10,60.05,09:51
07/20/2022,10,60.31,09:52
07/20/2022,10,60.31,09:53
07/20/2022,10,60.31,09:54
07/20/2022,10,60.31,09:55
07/20/2022,10,60.31,09:56
07/20/2022,10,60.66,09:57
07/20/2022,10,60.66,09:58
07/20/2022,10,60.66,09:59
07/20/2022,11,68.01,10:00
07/20/2022,11,68.01,10:01
07/20/2022,11,69.00,10:02
07/20/2022,11,69.00,10:03
07/20/2022,11,69.00,10:04
07/20/2022,11,69.00,10:05
07/20/2022,11,72.84,10:06
07/20/2022,11,72.84,10:07
07/20/2022,11,72.84,10:08
07/20/2022,11,72.84,10:09
07/20/2022,11,72.84,10:10
07/20/2022,11,72.84,10:11
07/20/2022,11,72.84,10:12
07/20/2022,11,72.84,10:13
07/20/2022,11,72.84,10:14
07/20/2022,11,72.84,10:15
07/20/2022,11,72.84,10:16
07/20/2022,11,72.84,10:17
07/20/2022,11,72.84,10:18
07/20/2022,11,72.84,10:19
07/20/2022,11,72.84,10:20
07/20/2022,11,72.84,10:21
07/20/2022,11,72.84,10:22
07/20/2022,11,72.84,10:23
07/20/2022,11,72.84,10:24
07/20/2022,11,72.84,10:25
07/20/2022,11,72.84,10:26
07/20/2022,11,72.84,10:27
07/20/2022,11,72.84,10:28
07/20/2022,11,72.84,10:29
07/20/2022,11,72.84,10:30
07/20/2022,11,73.75,10:31
07/20/2022,11,73.75,10:32
07/20/2022,11,73.75,10:33
07/20/2022,11,73.75,10:34
07/20/2022,11,73.75,10:35
07/20/2022,11,73.75,10:36
07/20/2022,11,73.75,10:37
07/20/2022,11,73.75,10:38
07/20/2022,11,73.75,10:39
07/20/2022,11,73.75,10:40
07/20/2022,11,73.75,10:41
07/20/2022,11,73.75,10:42
07/20/2022,11,73.75,10:43
07/20/2022,11,73.75,10:44
07/20/2022,11,73.75,10:45
07/20/2022,11,73.00,10:46
07/20/2022,11,73.00,10:47
07/20/2022,11,73.00,10:48
07/20/2022,11,73.00,10:49
07/20/2022,11,73.00,10:50
07/20/2022,11,73.00,10:51
07/20/2022,11,73.00,10:52
07/20/2022,11,73.00,10:53
07/20/2022,11,73.00,10:54
07/20/2022,11,73.00,10:55
07/20/2022,11,73.00,10:57
07/20/2022,11,73.00,10:58
07/20/2022,11,73.00,10:58
07/20/2022,11,73.00,10:59
07/20/2022,12,72.01,11:00
07/20/2022,12,69.00,11:01
07/20/2022,12,69.00,11:02
07/20/2022,12,69.00,11:03
07/20/2022,12,69.00,11:04
07/20/2022,12,69.00,11:05
07/20/2022,12,69.00,11:06
07/20/2022,12,68.98,11:07
07/20/2022,12,68.98,11:08
07/20/2022,12,68.98,11:09
07/20/2022,12,68.98,11:10
07/20/2022,12,68.98,11:11
07/20/2022,12,68.98,11:12
07/20/2022,12,68.98,11:13
07/20/2022,12,68.98,11:14
07/20/2022,12,68.98,11:15
07/20/2022,12,68.98,11:16
07/20/2022,12,68.98,11:17
07/20/2022,12,68.98,11:18
07/20/2022,12,68.98,11:19
07/20/2022,12,68.98,11:21
07/20/2022,12,68.98,11:21
07/20/2022,12,68.98,11:23
07/20/2022,12,68.98,11:24
07/20/2022,12,68.98,11:25
07/20/2022,12,68.98,11:26
07/20/2022,12,68.98,11:26
07/20/2022,12,68.98,11:28
07/20/2022,12,68.98,11:29
07/20/2022,12,68.98,11:29
07/20/2022,12,68.98,11:31
07/20/2022,12,68.98,11:31
07/20/2022,12,68.98,11:33
07/20/2022,12,68.98,11:33
07/20/2022,12,68.98,11:34
07/20/2022,12,68.98,11:35
07/20/2022,12,68.98,11:37
07/20/2022,12,68.98,11:37
07/20/2022,12,68.98,11:38
07/20/2022,12,68.98,11:39
07/20/2022,12,68.98,11:40
07/20/2022,12,68.98,11:42
07/20/2022,12,68.99,11:43
07/20/2022,12,68.99,11:44
07/20/2022,12,68.99,11:45
07/20/2022,12,68.99,11:46
07/20/2022,12,68.99,11:47
07/20/2022,12,68.99,11:48
07/20/2022,12,68.99,11:49
07/20/2022,12,68.99,11:50
07/20/2022,12,68.99,11:51
07/20/2022,12,68.99,11:52
07/20/2022,12,68.99,11:53
07/20/2022,12,68.99,11:54
07/20/2022,12,68.99,11:55
07/20/2022,12,68.99,11:56
07/20/2022,12,68.99,11:57
07/20/2022,12,68.99,11:58
07/20/2022,12,68.99,11:59
07/20/2022,13,69.00,12:00
07/20/2022,13,69.00,12:01
07/20/2022,13,69.00,12:02
07/20/2022,13,69.00,12:03
07/20/2022,13,69.00,12:04
07/20/2022,13,72.98,12:05
07/20/2022,13,72.98,12:06
07/20/2022,13,72.98,12:07
07/20/2022,13,72.98,12:08
07/20/2022,13,72.98,12:09
07/20/2022,13,72.98,12:10
07/20/2022,13,72.98,12:10
07/20/2022,13,72.98,12:12
07/20/2022,13,72.98,12:13
07/20/2022,13,72.98,12:13
07/20/2022,13,72.98,12:14
07/20/2022,13,72.98,12:15
07/20/2022,13,72.98,12:17
07/20/2022,13,72.98,12:18
07/20/2022,13,72.98,12:19
07/20/2022,13,72.98,12:20
07/20/2022,13,72.98,12:21
07/20/2022,13,72.98,12:22
07/20/2022,13,72.98,12:23
07/20/2022,13,72.98,12:24
07/20/2022,13,72.98,12:25
07/20/2022,13,72.98,12:26
07/20/2022,13,72.98,12:27
07/20/2022,13,72.98,12:28
07/20/2022,13,72.98,12:29
07/20/2022,13,72.98,12:30
07/20/2022,13,72.98,12:31
07/20/2022,13,72.98,12:32
07/20/2022,13,76.16,12:33
07/20/2022,13,76.16,12:34
07/20/2022,13,76.16,12:35
07/20/2022,13,76.16,12:36
07/20/2022,13,76.16,12:37
07/20/2022,13,76.16,12:38
07/20/2022,13,76.16,12:39
07/20/2022,13,76.16,12:40
07/20/2022,13,76.16,12:41
07/20/2022,13,76.16,12:42
07/20/2022,13,76.16,12:43
07/20/2022,13,76.16,12:44
07/20/2022,13,76.16,12:45
07/20/2022,13,76.16,12:46
07/20/2022,13,76.16,12:47
07/20/2022,13,76.16,12:48
07/20/2022,13,76.16,12:49
07/20/2022,13,76.16,12:50
07/20/2022,13,76.16,12:51
07/20/2022,13,76.16,12:52
07/20/2022,13,76.16,12:53
07/20/2022,13,76.16,12:54
07/20/2022,13,76.16,12:55
07/20/2022,13,76.16,12:56
07/20/2022,13,76.16,12:57
07/20/2022,13,76.16,12:58
07/20/2022,13,76.16,12:59
07/20/2022,14,80.00,13:00
07/20/2022,14,73.19,13:01
07/20/2022,14,73.19,13:02
07/20/2022,14,73.19,13:03
07/20/2022,14,72.24,13:04
07/20/2022,14,72.24,13:05
07/20/2022,14,72.24,13:06
07/20/2022,14,72.24,13:07
07/20/2022,14,72.24,13:08
07/20/2022,14,72.24,13:09
07/20/2022,14,72.24,13:10
07/20/2022,14,72.24,13:11
07/20/2022,14,72.90,13:12
07/20/2022,14,72.90,13:13
07/20/2022,14,72.90,13:14
07/20/2022,14,83.18,13:15
07/20/2022,14,83.18,13:16
07/20/2022,14,83.18,13:17
07/20/2022,14,83.18,13:18
07/20/2022,14,83.18,13:19
07/20/2022,14,83.18,13:20
07/20/2022,14,83.18,13:21
07/20/2022,14,83.18,13:22
07/20/2022,14,83.76,13:23
07/20/2022,14,83.76,13:24
07/20/2022,14,83.76,13:25
07/20/2022,14,83.76,13:26
07/20/2022,14,83.76,13:27
07/20/2022,14,83.76,13:28
07/20/2022,14,83.76,13:29
07/20/2022,14,83.76,13:30
07/20/2022,14,83.76,13:31
07/20/2022,14,83.76,13:32
07/20/2022,14,83.76,13:33
07/20/2022,14,83.76,13:34
07/20/2022,14,83.76,13:35
