,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
0,01/01/2022 01,65.64,127.1,10746.0
1,01/01/2022 02,61.59,127.1,10618.0
2,01/01/2022 03,56.67,127.11,10499.0
3,01/01/2022 04,45.58,127.12,10451.0
4,01/01/2022 05,57.39,127.12,10408.0
5,01/01/2022 06,58.11,127.12,10401.0
6,01/01/2022 07,53.37,127.09,10438.0
7,01/01/2022 08,41.23,127.02,10529.0
8,01/01/2022 09,40.92,127.0,10576.0
9,01/01/2022 10,39.58,126.97,10625.0
10,01/01/2022 11,41.14,126.97,10756.0
11,01/01/2022 12,51.16,126.98,10822.0
12,01/01/2022 13,50.88,126.97,10851.0
13,01/01/2022 14,54.35,126.95,10839.0
14,01/01/2022 15,52.48,126.94,10747.0
15,01/01/2022 16,53.93,126.49,10770.0
16,01/01/2022 17,62.89,125.83,11119.0
17,01/01/2022 18,83.49,124.73,11295.0
18,01/01/2022 19,69.75,123.58,11141.0
19,01/01/2022 20,66.28,122.42,10946.0
20,01/01/2022 21,55.82,121.58,10787.0
21,01/01/2022 22,47.65,121.29,10543.0
22,01/01/2022 23,46.66,121.23,10289.0
23,01/01/2022 24,55.65,121.17,9999.0
24,01/02/2022 01,48.74,121.12,9846.0
25,01/02/2022 02,32.45,121.07,9768.0
26,01/02/2022 03,33.48,121.03,9700.0
27,01/02/2022 04,38.35,121.0,9681.0
28,01/02/2022 05,36.12,120.97,9695.0
29,01/02/2022 06,40.34,120.91,9791.0
30,01/02/2022 07,46.45,120.82,9908.0
31,01/02/2022 08,46.29,120.38,10098.0
32,01/02/2022 09,48.44,120.07,10279.0
33,01/02/2022 10,42.75,119.66,10377.0
34,01/02/2022 11,38.62,119.23,10510.0
35,01/02/2022 12,47.67,118.71,10635.0
36,01/02/2022 13,48.09,118.19,10602.0
37,01/02/2022 14,49.11,117.34,10594.0
38,01/02/2022 15,51.94,116.6,10631.0
39,01/02/2022 16,49.52,116.55,10744.0
40,01/02/2022 17,59.43,116.49,11061.0
41,01/02/2022 18,70.95,116.48,11351.0
42,01/02/2022 19,151.42,116.6,11263.0
43,01/02/2022 20,96.94,116.65,11172.0
44,01/02/2022 21,107.75,116.72,11103.0
45,01/02/2022 22,77.41,116.74,10982.0
46,01/02/2022 23,100.08,116.8,10757.0
47,01/02/2022 24,90.69,116.84,10487.0
48,01/03/2022 01,70.43,116.86,10287.0
49,01/03/2022 02,70.25,116.88,10192.0
50,01/03/2022 03,67.91,116.89,10128.0
51,01/03/2022 04,68.25,116.91,10177.0
52,01/03/2022 05,70.66,116.93,10225.0
53,01/03/2022 06,71.98,116.95,10333.0
54,01/03/2022 07,74.25,116.97,10558.0
55,01/03/2022 08,64.38,116.98,10871.0
56,01/03/2022 09,79.04,117.0,11139.0
57,01/03/2022 10,170.74,117.16,11251.0
58,01/03/2022 11,218.04,117.4,11394.0
59,01/03/2022 12,148.77,117.53,11463.0
60,01/03/2022 13,176.62,117.69,11533.0
61,01/03/2022 14,186.47,117.88,11554.0
62,01/03/2022 15,176.13,118.04,11516.0
63,01/03/2022 16,131.95,118.14,11573.0
64,01/03/2022 17,117.08,118.24,11784.0
65,01/03/2022 18,140.51,118.38,11939.0
66,01/03/2022 19,74.05,118.42,11825.0
67,01/03/2022 20,70.21,118.45,11774.0
68,01/03/2022 21,73.11,118.48,11709.0
69,01/03/2022 22,74.21,118.51,11516.0
70,01/03/2022 23,68.47,118.54,11241.0
71,01/03/2022 24,67.51,118.56,10914.0
72,01/04/2022 01,56.14,118.58,10716.0
73,01/04/2022 02,56.21,118.6,10667.0
