Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11/02/2021,222,25,21,14,22,26,31,71,37,49,33,48,44,47,28,27,36,35,35,33,37,39,29,77
11/03/2021,231,24,16,31,21,36,26,96,44,34,48,60,45,36,53,33,45,39,40,38,36,52,33,75
11/04/2021,221,24,23,20,26,36,43,74,45,53,36,54,42,37,37,31,45,33,47,40,27,40,32,71
11/05/2021,219,24,22,20,28,28,32,76,37,34,34,31,40,35,35,35,36,35,43,26,35,39,29,65
11/06/2021,219,26,31,25,21,35,23,77,40,32,33,40,52,25,29,21,23,39,18,41,38,31,36,62
11/07/2021,220,25,1,216,24,25,30,27,28,59,26,33,36,34,41,36,25,25,38,36,36,37,31,35
11/08/2021,221,37,31,43,29,31,26,34,27,33,29,36,25,30,58,85,27,26,25,37,30,31,66,31
11/09/2021,227,41,39,33,41,34,34,45,37,26,26,21,33,29,63,67,41,20,27,22,37,37,75,44
11/10/2021,229,29,43,44,33,32,29,38,35,39,42,39,33,26,63,71,20,16,25,20,23,22,74,48
11/11/2021,229,33,42,37,33,43,39,41,39,42,45,41,34,19,75,69,20,26,20,24,28,24,82,41
11/12/2021,215,36,40,46,40,35,32,40,27,25,32,24,35,32,70,68,18,26,18,14,19,16,70,37
11/13/2021,150,77,29,27,69,34,31,39,40,30,36,30,29,42,32,35,36,32,38,38,66,216,27,28
11/14/2021,211,29,27,17,15,26,23,71,35,31,39,37,29,43,23,20,36,29,31,31,35,46,35,73
11/15/2021,212,12,14,14,13,28,30,73,40,35,31,44,31,43,32,34,37,28,37,35,30,33,35,66
11/16/2021,208,27,42,29,33,36,36,70,41,34,32,43,28,52,29,30,34,38,28,36,30,39,36,53
11/17/2021,219,25,30,34,29,42,39,81,45,35,49,50,45,40,36,43,51,43,33,31,30,21,28,59
11/18/2021,220,13,12,24,24,22,31,61,29,23,26,29,35,35,35,35,40,37,38,36,23,33,17,58
11/19/2021,225,22,16,16,11,27,36,75,30,47,47,33,50,44,20,39,41,28,33,24,30,31,27,50
11/20/2021,228,32,36,29,20,32,27,94,34,37,41,33,26,34,26,36,43,41,32,43,34,19,45,63
11/21/2021,230,25,25,19,25,32,24,75,32,39,36,44,46,41,43,34,35,32,39,29,31,29,27,71
11/22/2021,227,14,15,19,26,27,23,72,32,35,38,53,56,38,44,35,33,38,22,32,26,25,24,56
11/23/2021,229,18,23,24,27,34,20,71,42,27,27,39,42,33,40,42,39,36,31,33,32,43,23,62
11/24/2021,234,34,23,21,21,21,21,82,56,43,40,42,47,47,38,34,33,30,29,24,22,34,22,66
11/25/2021,217,17,13,25,24,33,24,63,38,38,38,27,34,37,31,17,27,24,42,29,36,39,14,54
