Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/01/2020 01,30.24,43.49,9467
01/01/2020 02,29.43,43.49,9361
01/01/2020 03,29.66,43.49,9286
01/01/2020 04,28.19,43.49,9209
01/01/2020 05,31.17,43.49,9195
01/01/2020 06,31.8,43.49,9224
01/01/2020 07,28.9,43.49,9342
01/01/2020 08,30.5,43.49,9514
01/01/2020 09,34.68,43.48,9648
01/01/2020 10,34.41,43.49,9745
01/01/2020 11,34.84,43.49,9878
01/01/2020 12,34.86,43.49,9989
01/01/2020 13,34.98,43.5,10043
01/01/2020 14,34.96,43.5,10025
01/01/2020 15,34.33,43.51,10032
01/01/2020 16,35.84,43.52,10154
01/01/2020 17,36.58,43.52,10427
01/01/2020 18,36.68,43.52,10697
01/01/2020 19,36.44,43.53,10592
01/01/2020 20,36.15,43.53,10460
01/01/2020 21,35.2,43.54,10274
01/01/2020 22,34.92,43.54,10120
01/01/2020 23,35.14,43.55,9872
01/01/2020 24,34.28,43.56,9619
01/02/2020 01,29.24,43.56,9605
01/02/2020 02,28.19,43.57,9479
01/02/2020 03,28.18,43.57,9397
01/02/2020 04,28.08,43.57,9361
01/02/2020 05,28.03,43.57,9383
01/02/2020 06,28.02,43.57,9522
01/02/2020 07,28.12,43.56,9840
01/02/2020 08,31.72,43.56,10261
01/02/2020 09,34.3,43.56,10500
01/02/2020 10,35.25,43.56,10510
01/02/2020 11,36.89,43.56,10635
01/02/2020 12,36.87,43.55,10686
01/02/2020 13,36.89,43.56,10645
01/02/2020 14,37.05,43.56,10626
01/02/2020 15,38.68,43.57,10596
01/02/2020 16,38.8,43.58,10670
01/02/2020 17,36.68,43.59,10951
01/02/2020 18,38.32,43.6,11180
01/02/2020 19,32.86,43.6,11029
01/02/2020 20,33.77,43.61,10934
01/02/2020 21,34.14,43.61,10814
01/02/2020 22,31.82,43.61,10587
01/02/2020 23,29.11,43.61,10278
01/02/2020 24,28.97,43.61,9935
01/03/2020 01,28.9,43.62,9756
01/03/2020 02,28.91,43.62,9627
01/03/2020 03,32.36,43.63,9549
01/03/2020 04,36.63,43.64,9540
01/03/2020 05,36.68,43.65,9549
01/03/2020 06,36.67,43.67,9702
