,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,05/02/2022,69,49,49,36,35,43,36,67,53,49,41,51,46,47,40,47,54,42,30,38,36,50,46,80.0
1,05/03/2022,86,39,28,30,28,27,35,80,49,48,43,48,46,44,37,39,47,44,33,32,31,43,30,68.0
2,05/04/2022,73,24,21,26,22,25,26,58,35,36,51,42,36,31,28,29,30,30,34,32,41,40,25,55.0
3,05/05/2022,71,27,26,29,20,27,28,65,38,47,43,39,51,48,29,33,33,37,25,35,32,41,27,62.0
4,05/06/2022,76,44,23,29,29,29,29,72,38,40,38,46,40,39,22,36,37,39,47,27,38,42,34,51.0
5,05/07/2022,83,31,24,26,34,44,27,69,42,30,34,24,25,31,27,23,23,31,34,31,32,33,29,64.0
6,05/08/2022,68,27,22,24,24,39,25,71,41,36,31,30,30,20,35,25,36,47,34,39,33,38,39,63.0
7,05/09/2022,73,32,24,24,36,31,35,79,39,43,46,36,32,40,34,35,45,42,30,39,40,46,46,74.0
8,05/10/2022,87,32,27,27,24,32,35,79,48,47,31,48,45,34,38,43,39,32,41,42,36,37,32,70.0
9,05/11/2022,73,29,30,28,40,30,34,83,51,41,40,42,42,35,32,37,45,39,36,41,34,36,38,59.0
10,05/12/2022,76,32,38,35,27,33,41,80,49,61,45,47,40,45,37,43,46,39,39,51,45,51,46,74.0
11,05/13/2022,91,37,29,33,34,35,34,82,41,46,41,45,37,32,35,32,33,31,39,41,42,47,26,63.0
12,05/14/2022,76,36,35,34,25,28,21,57,37,41,42,33,52,34,32,41,26,32,34,28,42,44,54,64.0
13,05/15/2022,71,42,33,36,34,38,27,66,33,42,43,46,36,29,38,26,27,31,34,28,43,39,43,64.0
14,05/16/2022,68,36,43,35,37,32,27,62,43,49,47,36,52,30,30,26,39,34,33,34,34,40,50,55.0
15,05/17/2022,83,37,25,35,32,34,30,63,51,49,43,49,45,35,45,31,49,41,31,30,34,51,40,60.0
